line_number,module,status,in_try_block,line
7905,src.assembled_core.strategies.ema_trend_v0,OK,True,from src.assembled_core.strategies.ema_trend_v0 import compute_signals as _ema_signals
7912,src.assembled_core.strategies.ic_decay_weights,OK,True,from src.assembled_core.strategies.ic_decay_weights import compute_ic_decay_weights
7919,src.assembled_core.strategies.multifactor_long_short,OK,True,from src.assembled_core.strategies.multifactor_long_short import (
7935,src.assembled_core.strategies.multifactor_v1,OK,True,from src.assembled_core.strategies.multifactor_v1 import compute_signals as _mfv1_signals
7942,src.assembled_core.strategies.multifactor_v2,OK,True,from src.assembled_core.strategies.multifactor_v2 import compute_signals as _mfv2_signals
7949,src.assembled_core.features.earnings_insider_wrapper,OK,True,from src.assembled_core.features.earnings_insider_wrapper import compute_earnings_insider_factors
7956,src.assembled_core.features.feature_flag_audit,MISSING,True,"from src.assembled_core.features.feature_flag_audit import audit_feature_flags, FEATURE_FLAGS"
7969,src.assembled_core.features.news_macro_wrapper,OK,True,from src.assembled_core.features.news_macro_wrapper import compute_news_macro_factors
7976,src.assembled_core.features.shipping_features,OK,True,from src.assembled_core.features.shipping_features import add_shipping_features
7983,src.assembled_core.accounting.attribution,OK,True,from src.assembled_core.accounting.attribution import compute_cost_attribution
7995,src.assembled_core.accounting.currency,OK,True,from src.assembled_core.accounting.currency import FXConverter
8006,src.assembled_core.accounting.ledger,OK,True,from src.assembled_core.accounting.ledger import events_from_orders
8013,src.assembled_core.accounting.reconciliation,OK,True,from src.assembled_core.accounting.reconciliation import ReconcileSLO
8026,src.assembled_core.data.altdata.contract,OK,True,from src.assembled_core.data.altdata.contract import normalize_alt_events
8033,src.assembled_core.data.altdata.finnhub_common,OK,True,from src.assembled_core.data.altdata.finnhub_common import get_finnhub_session
8040,src.assembled_core.data.altdata.finnhub_events,OK,True,from src.assembled_core.data.altdata.finnhub_events import (
8050,src.assembled_core.data.altdata.finnhub_news_macro,OK,True,from src.assembled_core.data.altdata.finnhub_news_macro import (
8066,src.assembled_core.data.altdata.house_ptr_parser,ARCHIVED(archive\observability_graveyard_2026q2\data\altdata\house_ptr_parser.py),True,from src.assembled_core.data.altdata.house_ptr_parser import (
8076,src.assembled_core.data.altdata.patent_features,ARCHIVED(archive\observability_graveyard_2026q2\data\altdata\patent_features.py),True,"from src.assembled_core.data.altdata.patent_features import PatentConfig, compute_patent_features"
8088,src.assembled_core.data.altdata.satellite_features,ARCHIVED(archive\observability_graveyard_2026q2\data\altdata\satellite_features.py),True,"from src.assembled_core.data.altdata.satellite_features import SatelliteConfig, process_parking_lot_data"
8100,src.assembled_core.data.altdata.social_sentiment,ARCHIVED(archive\observability_graveyard_2026q2\data\altdata\social_sentiment.py),True,"from src.assembled_core.data.altdata.social_sentiment import SentimentConfig, aggregate_daily_sentiment"
8112,src.assembled_core.data.altdata.web_scraping,ARCHIVED(archive\observability_graveyard_2026q2\data\altdata\web_scraping.py),True,"from src.assembled_core.data.altdata.web_scraping import WebScrapingConfig, compute_job_posting_features"
8124,src.assembled_core.data.calendar,OK,True,"from src.assembled_core.data.calendar import calendar_mode, is_trading_day_safe"
8134,src.assembled_core.data.data_source,OK,True,from src.assembled_core.data.data_source import get_price_data_source
8141,src.assembled_core.data.ledger_store,OK,True,from src.assembled_core.data.ledger_store import LedgerStore
8148,src.assembled_core.data.macro.contract,OK,True,from src.assembled_core.data.macro.contract import normalize_macro_releases
8155,src.assembled_core.data.news.contract,MISSING,True,from src.assembled_core.data.news.contract import normalize_news_events
8162,src.assembled_core.data.news.entity_linking,MISSING,True,from src.assembled_core.data.news.entity_linking import link_news_to_symbols
8169,src.assembled_core.data.news.store,MISSING,True,from src.assembled_core.data.news.store import load_news
8180,src.assembled_core.data.news_ingest,MISSING,True,"from src.assembled_core.data.news_ingest import load_news_sample, normalize_news"
8191,src.assembled_core.data.shipping.contract,MISSING,True,from src.assembled_core.data.shipping.contract import normalize_shipping_releases
8198,src.assembled_core.data.snapshot,OK,True,from src.assembled_core.data.snapshot import compute_price_panel_snapshot_id
8205,src.assembled_core.data.sources.alphavantage_source,OK,True,from src.assembled_core.data.sources.alphavantage_source import fetch_prices_alphavantage
8212,src.assembled_core.data.sources.bls_source,OK,True,from src.assembled_core.data.sources.bls_source import fetch_bls_series
8219,src.assembled_core.data.sources.cboe_source,OK,True,from src.assembled_core.data.sources.cboe_source import CBOESource
8227,src.assembled_core.data.sources.edgar_source,OK,True,from src.assembled_core.data.sources.edgar_source import fetch_insider_trades
8234,src.assembled_core.data.sources.fred_source,OK,True,from src.assembled_core.data.sources.fred_source import fetch_fred_series
8241,src.assembled_core.data.sources.newsapi_source,OK,True,from src.assembled_core.data.sources.newsapi_source import fetch_news_headlines
8248,src.assembled_core.data.sources.polygon_source,OK,True,from src.assembled_core.data.sources.polygon_source import fetch_prices_polygon
8255,src.assembled_core.data.sources.worldbank_source,OK,True,from src.assembled_core.data.sources.worldbank_source import fetch_worldbank_indicator
8262,src.assembled_core.data.sources.yfinance_source,OK,True,from src.assembled_core.data.sources.yfinance_source import fetch_prices_yfinance
8269,src.assembled_core.data.streaming.minute_bar_aggregator,ARCHIVED(archive\observability_graveyard_2026q2\data\streaming\minute_bar_aggregator.py),True,from src.assembled_core.data.streaming.minute_bar_aggregator import MinuteBarAggregator
8280,src.assembled_core.data.streaming.ws_client,ARCHIVED(archive\observability_graveyard_2026q2\data\streaming\ws_client.py),True,from src.assembled_core.data.streaming.ws_client import WSConfig
8292,src.assembled_core.data.universe,OK,True,from src.assembled_core.data.universe import get_universe_members
8299,src.assembled_core.events.crisis_alpha.baskets,OK,True,"from src.assembled_core.events.crisis_alpha.baskets import get_baskets, get_basket_symbols"
8312,src.assembled_core.events.crisis_alpha.entry,OK,True,from src.assembled_core.events.crisis_alpha.entry import generate_crisis_entry
8319,src.assembled_core.events.crisis_alpha.exit_rules,OK,True,from src.assembled_core.events.crisis_alpha.exit_rules import get_positions_to_exit
8326,src.assembled_core.events.crisis_alpha.gates,OK,True,from src.assembled_core.events.crisis_alpha.gates import run_all_activation_gates
8333,src.assembled_core.events.crisis_alpha.risk_budget,OK,True,from src.assembled_core.events.crisis_alpha.risk_budget import apply_risk_budget
8340,src.assembled_core.events.crisis_alpha.state_machine,OK,True,from src.assembled_core.events.crisis_alpha.state_machine import CrisisStateRecord
8351,src.assembled_core.events.disclosures.dedupe,OK,True,from src.assembled_core.events.disclosures.dedupe import dedupe_events
8362,src.assembled_core.events.disclosures.emit,OK,True,from src.assembled_core.events.disclosures.emit import emit_json_artifact
8369,src.assembled_core.events.disclosures.evidence,OK,True,from src.assembled_core.events.disclosures.evidence import summarize_evidence
8381,src.assembled_core.events.disclosures.fetch_edgar,OK,True,from src.assembled_core.events.disclosures.fetch_edgar import fetch_edgar_form4
8388,src.assembled_core.events.disclosures.fetch_house_ptr,OK,True,from src.assembled_core.events.disclosures.fetch_house_ptr import fetch_house_ptr_filings
8395,src.assembled_core.events.disclosures.health,OK,True,from src.assembled_core.events.disclosures.health import compute_health
8406,src.assembled_core.events.disclosures.models,OK,True,"from src.assembled_core.events.disclosures.models import DisclosureEvent, DisclosuresHealth"
8413,src.assembled_core.events.disclosures.normalize,OK,True,from src.assembled_core.events.disclosures.normalize import normalize_raw_item
8420,src.assembled_core.events.disclosures.pipeline,OK,True,from src.assembled_core.events.disclosures.pipeline import run_disclosures_pipeline
8427,src.assembled_core.events.disclosures.sources,OK,True,"from src.assembled_core.events.disclosures.sources import DisclosureSource, load_sources_registry"
8434,src.assembled_core.events.disclosures.triggers,OK,True,from src.assembled_core.events.disclosures.triggers import score_disclosure_triggers
8441,src.assembled_core.events.news.baseline,OK,True,from src.assembled_core.events.news.baseline import compute_version_hash
8452,src.assembled_core.events.news.clustering,OK,True,from src.assembled_core.events.news.clustering import build_clusters
8463,src.assembled_core.events.news.dedupe,OK,True,from src.assembled_core.events.news.dedupe import dedupe_events as _news_dedupe_events
8474,src.assembled_core.events.news.dedupe_store,OK,True,from src.assembled_core.events.news.dedupe_store import DedupeStoreSQLite
8481,src.assembled_core.events.news.emit,OK,True,from src.assembled_core.events.news.emit import emit_json_artifact as _news_emit
8488,src.assembled_core.events.news.entities,OK,True,"from src.assembled_core.events.news.entities import extract_entities, extract_countries"
8499,src.assembled_core.events.news.evidence,OK,True,from src.assembled_core.events.news.evidence import summarize_cluster_evidence
8506,src.assembled_core.events.news.fetch_gdelt,OK,True,from src.assembled_core.events.news.fetch_gdelt import fetch_gdelt_events
